,Year,Quarter,Month,Employee,Cost Object,Paid FTE,Salary,Overhead,Total Expenses
149,2010,Q1,3,Employee 100,::DC/GO/CIS/BY/Minsk,0.12499999251531113,212.5,65.84599999999993,278.34599999999995
150,2010,Q2,4,Employee 9,::DC/GO/CIS/BY/Minsk,0.9999999734742467,2100.0,677.8366,2777.8366
151,2010,Q2,4,Employee 22,::DC/GO/CIS/BY/Minsk,0.4166666666666667,875.0,282.432,1157.432
152,2010,Q2,4,Employee 49,::DC/GO/CIS/BY/Minsk,1.0000000141922747,1899.9999,677.8368000000002,2577.8367000000003
153,2010,Q2,4,Employee 59,::DC/GO/CIS/BY/Minsk,0.39999997422499556,660.0,271.1346000000001,931.1346000000001
154,2010,Q2,4,Employee 100,::DC/GO/CIS/BY/Minsk,0.9999999966355972,1700.0,677.8365999999996,2377.8365999999996
155,2010,Q2,5,Employee 9,::DC/GO/CIS/BY/Minsk,1.0,2100.0,629.8110000000006,2729.8110000000006
156,2010,Q2,5,Employee 22,::DC/GO/CIS/BY/Minsk,0.4759036153405438,999.3976,299.7294000000002,1299.1270000000002
157,2010,Q2,5,Employee 49,::DC/GO/CIS/BY/Minsk,0.9999999604713583,1900.0,629.8111000000001,2529.8111
158,2010,Q2,5,Employee 100,::DC/GO/CIS/BY/Minsk,0.9500000386297436,1615.0,598.3204999999999,2213.3205
159,2010,Q2,6,Employee 9,::DC/GO/CIS/BY/Minsk,0.999999970875374,2099.9999,646.8164000000004,2746.8163000000004
160,2010,Q2,6,Employee 22,::DC/GO/CIS/BY/Minsk,0.5340909090909091,1121.5909,345.45900000000006,1467.0499
161,2010,Q2,6,Employee 49,::DC/GO/CIS/BY/Minsk,0.9999998665000397,1900.0,646.8168999999999,2546.8169
162,2010,Q2,6,Employee 100,::DC/GO/CIS/BY/Minsk,1.0,1700.0,646.8167999999996,2346.8167999999996
163,2010,Q3,7,Employee 9,::DC/GO/CIS/BY/Minsk,1.0,2100.0,609.6206999999999,2709.6207
164,2010,Q3,7,Employee 22,::DC/GO/CIS/BY/Minsk,0.3977272727272727,914.7728,242.4629,1157.2357
165,2010,Q3,7,Employee 49,::DC/GO/CIS/BY/Minsk,1.0,2000.0,609.6206999999999,2609.6207
